Symbol,Shares,Total,Price,Transaction Type,Transaction Date
NKE,0.68,213.00,Buy,2024-08-2216:47:00
GOOGL,0.42,259.09,Buy,2024-08-1917:42:00
AEM,0.26,78.41,Sell,2024-08-1917:58:00
MSFT,0.13,203.92,Buy,2024-08-1916:50:00
TYL,0.02,43.57,Sell,2024-08-1916:49:00
CVX,0.38,208.69,Buy,2024-08-1916:49:00
AMZN,0.31,206.02,Buy,2024-08-1916:48:00
VERX,0.28,39.00,Sell,2024-08-2322:20:00
GKOS,0.16,79.24,Sell,2024-08-2322:20:00
MRVL,0.02,5.29,Sell,2024-08-2319:16:00
MRVL,0.02,5.32,Buy,2024-08-2319:15:00
MORN,0.2,237.26,Buy,2024-08-2318:34:00
NKE,0.68,213.82,Sell,2024-08-2318:34:00
NFLX,0.01,25.61,Sell,2024-08-2317:53:00
SNOW,0.2,87.82,Buy,2024-08-2220:56:00
AAPL,0.06,50.66,Buy,2024-08-2620:00:00
REGN,0.08,360.49,Buy,2024-08-2322:49:00
AXNX,0.5,129.26,Sell,2024-08-2322:28:00
MRVL,0.85,227.62,Sell,2024-08-2322:24:00
RMD,0.13,110.25,Sell,2024-08-2322:23:00
GOOG,0.03,18.82,Sell,2024-08-2322:23:00
PLD,0.08,38.70,Sell,2024-08-2322:23:00
GWW,0.01,36.75,Sell,2024-08-2322:21:00
ALNY,0.08,81.67,Sell,2024-08-2322:21:00
WK,0.18,54.11,Buy,2024-08-2620:00:00
BIRK,0.23,55.20,Buy,2024-08-2620:00:00
RMD,0.06,50.89,Buy,2024-08-2620:00:00
ENTG,0.13,55.01,Buy,2024-08-2620:00:00
ONTO,0.07,54.97,Buy,2024-08-2620:00:00
MRVL,0.21,54.41,Buy,2024-08-2620:00:00
NVDA,0.11,52.20,Buy,2024-08-2620:00:00
TSLA,0.07,55.84,Buy,2024-08-2620:00:00
AAPL,0.06,50.66,Buy,2024-08-2620:00:00
MRVL,0.85,220.39,Buy,2024-08-1621:28:00
AEYE,2.51,216.41,Sell,2024-08-1521:00:00
NVDA,0.15,73.16,Buy,2024-07-1217:34:00
TYL,0.01,19.61,Buy,2024-07-1217:33:00
AEYE,0.5,37.46,Buy,2024-07-1217:33:00
ANET,0.02,27.22,Buy,2024-07-1217:33:00
SNOW,0.07,35.44,Buy,2024-07-1217:32:00
AEM,0.13,36.52,Buy,2024-07-1217:32:00
SNOW,0.07,35.59,Buy,2024-07-1017:08:00
SRPT,0.06,33.97,Buy,2024-07-1017:07:00
TYL,0.01,19.01,Buy,2024-07-1017:07:00
AEM,0.13,35.17,Buy,2024-07-1017:06:00
SMCI,0.01,33.00,Buy,2024-07-1017:06:00
SNOW,0.14,74.29,Buy,2024-07-0819:21:00
